,专辑名称,专辑链接,专辑评分,评分人数,歌手,发行日期,类型,介质,曲风
0,We Sing. We Dance. We Steal Things.,https://music.douban.com/subject/2995812/,9.1,116870,Jason Mraz,2008-05-13,Import,Audio CD,民谣
1,Viva La Vida Death And All His Friends,https://music.douban.com/subject/3040149/,9.0,120737,Coldplay,2008-06-17,专辑,CD,摇滚
2,华丽的冒险 華麗的冒險,https://music.douban.com/subject/1427374/,9.0,93109,陈绮贞,2005-09-23,专辑,CD,流行
3,范特西 Fantasy,https://music.douban.com/subject/1403307/,9.5,188753,周杰伦,2001-09-14,专辑,CD,流行
4,后青春期的诗 後。青春期的詩,https://music.douban.com/subject/3259411/,9.0,97229,五月天,2008-10-23,专辑,CD,摇滚
5,是时候 It's Time,https://music.douban.com/subject/5958397/,8.7,84002,孙燕姿,2011-03-08,专辑,CD,流行
6,Lenka,https://music.douban.com/subject/3184419/,8.6,83849,Lenka,2008-09-23,专辑,Audio CD,流行
7,Start from Here 从这里开始,https://music.douban.com/subject/3041487/,8.8,76953,王若琳,2008-01-11,专辑,CD,爵士
8,旅行的意义,https://music.douban.com/subject/1395089/,9.1,101416,陈绮贞,2004-02-02,单曲,CD,流行
9,太阳 Immortal,https://music.douban.com/subject/3390002/,8.8,79051,陈绮贞,2009-01-22,专辑,CD,流行
10,Once (Soundtrack) Once / 电影《曾经》原声大碟,https://music.douban.com/subject/2131368/,9.2,73581,"Glen Hansard,Marketa Irglova",2007-05-22,Soundtrack,CD,原声
11,Not Going Anywhere 守候,https://music.douban.com/subject/1394765/,8.9,62685,Keren Ann,2004-08-24,Import,Audio CD,民谣
12,American Idiot,https://music.douban.com/subject/1396380/,9.0,75063,Green Day,2004-09-21,Explicit Lyrics,Audio CD,摇滚
13,思念是一种病 OK,https://music.douban.com/subject/2134548/,8.9,84994,张震岳 Csun Yuk,2007-07-06,专辑,CD,流行
14,無與倫比的美麗 无与伦比的美丽,https://music.douban.com/subject/3717116/,8.8,91905,苏打绿,2007-11-02,专辑,CD,流行
15,亲爱的...我还不知道 親愛的…我還不知道,https://music.douban.com/subject/2131595/,8.8,68963,张悬,2007-07-20,专辑,CD,流行
16,城市 The City,https://music.douban.com/subject/3801228/,8.7,68286,张悬,2009-05-22,专辑,CD,摇滚
17,O,https://music.douban.com/subject/1394590/,9.1,53359,Damien Rice,2003,专辑,CD,流行
18,Wake Me Up When September Ends 九月结束的时候叫醒我,https://music.douban.com/subject/1431596/,9.4,55000,Green Day,2005-06-13,单曲,CD,摇滚
19,叶惠美 葉惠美 / Yeh Hui-Mei,https://music.douban.com/subject/1406522/,9.3,113528,周杰伦,2003-07-31,专辑,CD,流行
20,七里香 Common Jasmin Orange,https://music.douban.com/subject/1401853/,9.1,176515,周杰伦,2004,专辑,CD,流行
21,21,https://music.douban.com/subject/5351500/,9.3,76781,Adele,2011-01-24,专辑,CD,流行
22,My Life Will...,https://music.douban.com/subject/1788174/,8.8,60745,张悬,2006-06-09,专辑,CD,流行
23,寓言,https://music.douban.com/subject/1402531/,9.4,72639,王菲,2000,专辑,CD,流行
24,你在煩惱什麼 你在烦恼什么,https://music.douban.com/subject/6816154/,9.0,59511,苏打绿,2011-11-11,专辑,CD,流行
25,感官/世界 Senses Around,https://music.douban.com/subject/4738592/,8.6,60614,林宥嘉,2009-10-30,专辑,CD,流行
26,Nevermind 别介意,https://music.douban.com/subject/1394568/,9.3,69071,Nirvana,1991,专辑,CD,摇滚
27,八度空间 The Eight Dimensions,https://music.douban.com/subject/1403832/,9.2,95282,周杰伦,2002-07-19,专辑,CD,流行
28,Jay,https://music.douban.com/subject/1422300/,9.4,101145,周杰伦,2000-11-13,专辑,Audio CD,流行
29,Parachutes 降落伞,https://music.douban.com/subject/1463061/,9.1,56515,Coldplay,2000-07-10,专辑,CD,摇滚
30,我要的幸福 My Desired Happiness,https://music.douban.com/subject/1405028/,9.0,66108,孙燕姿,2000-12-7,专辑,CD,流行
31,还是会寂寞 Lonely Without You,https://music.douban.com/subject/1394547/,9.1,57001,陈绮贞,2000,专辑,CD,流行
32,Let Go 展翅高飞,https://music.douban.com/subject/1394992/,9.0,57584,Avril Lavigne,2002,Enhanced,Audio CD,摇滚
33,十一月的萧邦 November's Chopin,https://music.douban.com/subject/1436975/,8.9,102813,周杰伦,2005-11-01,专辑,CD,流行
34,橙月 Orange Moon,https://music.douban.com/subject/3313612/,8.7,55494,方大同,2008-12-19,专辑,CD,放克/灵歌/R&B
35,小宇宙 Little Universe,https://music.douban.com/subject/1900796/,8.9,53473,苏打绿,2006-10-20,专辑,CD,流行
36,若你碰到他 若你碰到他,https://music.douban.com/subject/4323489/,8.1,52873,蔡健雅,2009-08-19,专辑,CD,流行
37,Lady & Bird,https://music.douban.com/subject/1394763/,8.8,43941,Lady & Bird,2003,Import,Audio CD,民谣
38,万能青年旅店,https://music.douban.com/subject/5344708/,9.5,97425,万能青年旅店,2010-11-12,专辑,CD,摇滚
39,Meteora 流星圣殿,https://music.douban.com/subject/1395785/,9.1,46425,Linkin Park,2003-03-25,Enhanced,Audio CD,摇滚
40,Back To Bedlam 不安於室,https://music.douban.com/subject/1401550/,9.0,43775,James Blunt,2004,Explicit Lyrics,Audio CD,流行
41,苏打绿同名专辑,https://music.douban.com/subject/1421488/,8.9,56096,"苏打绿,蘇打綠",2005年9月,国语,CD,流行
42,静茹&情歌 别再为他流泪 别再为他流泪,https://music.douban.com/subject/3427630/,8.5,48244,梁静茹,2009-01-16,专辑,Audio CD,流行
43,美妙生活 Perfect Life,https://music.douban.com/subject/6113840/,8.8,50383,林宥嘉,2011-05-06,专辑,CD,流行
44,Le Fabuleux destin d'Amélie Poulain 天使爱美丽,https://music.douban.com/subject/1394798/,9.4,45109,Yann Tiersen,2001-04-23,Soundtrack,Audio CD,原声
45,Joanna & 王若琳,https://music.douban.com/subject/3335374/,8.3,43478,王若琳,2009-01-16,专辑,CD,爵士
46,A Plea En Vendredi,https://music.douban.com/subject/1776145/,9.0,39611,Tamas Wells,2006,Import,Audio CD,民谣
47,To Hebe 给自己,https://music.douban.com/subject/4935955/,8.3,48105,田馥甄 Hebe,2010-09-03,专辑,CD,流行
48,逆光 Against the Light,https://music.douban.com/subject/2009904/,8.7,77414,孙燕姿,2007-03-22,Import,CD,流行
49,只爱陌生人,https://music.douban.com/subject/3590980/,9.4,63251,王菲,1999-09-10,Import,CD,流行
50,Music For Tourists,https://music.douban.com/subject/1960229/,8.8,39312,Chris Garneau,2007-01-23,引进版,Audio CD,民谣
51,The Moment 关键时刻,https://music.douban.com/subject/1402385/,9.1,45250,孙燕姿,2003-08-22,专辑,CD,流行
52,七,https://music.douban.com/subject/1406094/,9.4,44239,陈奕迅,2003-11-20,选集,CD,流行
53,春·日光 日光,https://music.douban.com/subject/3671026/,8.3,46937,苏打绿,2009-05-08,专辑,CD,民谣
54,100种生活,https://music.douban.com/subject/3039969/,8.4,44408,盧廣仲,2008-5-27,专辑,CD,民谣
55,崇拜 J'adore,https://music.douban.com/subject/2282388/,8.6,51386,梁静茹,2007-11-09,专辑,CD,流行
56,陈绮贞精选 Cheer 精选,https://music.douban.com/subject/1408468/,9.2,37351,陈绮贞,2005,选集,CD,民谣
57,菊次郎の夏 Kikujiro (1999 Film),https://music.douban.com/subject/1419282/,9.5,51399,Joe Hisaishi,1999-05-19,专辑,CD,原声
58,Fearless 无畏,https://music.douban.com/subject/3220185/,8.7,57371,Taylor Swift,2008-11-11,Enhanced,Audio CD,流行
59,Life In Cartoon Motion,https://music.douban.com/subject/1968390/,8.8,37366,Mika,2007-02-05,专辑,CD,流行
60,H³M H3M,https://music.douban.com/subject/3603814/,8.8,46925,陈奕迅,2009-03-23,专辑,CD,流行
61,神秘嘉宾 Mystery Guest,https://music.douban.com/subject/3076388/,8.5,47381,林宥嘉,2008-06-03,专辑,CD,流行
62,Les Choristes 放牛班的春天,https://music.douban.com/subject/1394803/,9.5,38273,Bruno Coulais,2004-05-03,Soundtrack,Audio CD,原声
63,赤子 Innocent,https://music.douban.com/subject/3871896/,8.2,40250,范晓萱&100%,2009-08-10,专辑,CD,摇滚
64,9,https://music.douban.com/subject/1889074/,9.0,37201,Damien Rice,2006-11-06,专辑,Audio CD,民谣
65,将爱,https://music.douban.com/subject/1401392/,8.9,51226,王菲,2003,专辑,CD,流行
66,遇见我,https://music.douban.com/subject/1449452/,8.4,40551,曹方,2005年12月,专辑,CD,流行
67,梵高先生 B&BⅡ,https://music.douban.com/subject/1958731/,9.1,53584,李志,2007-01-11,CD,CD,民谣
68,Timeless 可啦思刻 方大同 2009全新大碟 自選輯 / 可啦思刻,https://music.douban.com/subject/3821598/,8.4,40192,方大同,2009-08-11,自选集,CD,放克/灵歌/R&B
69,依然范特西 Still Fantasy,https://music.douban.com/subject/2210561/,8.6,76610,周杰伦,2006-09-05,专辑,CD,流行
70,风筝 Kite,https://music.douban.com/subject/1407437/,9.0,47907,孙燕姿,2001-07-09,专辑,CD,流行
71,完美的一天 A Perfect Day,https://music.douban.com/subject/4725615/,8.3,48181,孙燕姿,2005-10-07,专辑,CD,流行
72,Say I Am You,https://music.douban.com/subject/1547155/,8.6,40320,The Weepies,2006,Import,Audio CD,民谣
73,黑色柳丁 Black Tangerine,https://music.douban.com/subject/1395092/,9.2,65880,陶喆,2002-08-09,专辑,CD,流行
74,Under My Skin,https://music.douban.com/subject/1394994/,8.7,41092,Avril Lavigne,2004-05-12,Import,Audio CD,摇滚
75,Stefanie,https://music.douban.com/subject/1406256/,8.7,40653,孙燕姿,2004-10-1,专辑,CD,流行
76,The Fame,https://music.douban.com/subject/3179585/,8.5,44831,Lady Gaga,2008-08-19,Import,Audio CD,流行
77,Mr. A-Z 英语老师,https://music.douban.com/subject/1823439/,9.0,34861,Jason Mraz,2005-07-04,Import,Audio CD,流行
78,为爱而生 為愛而生 / BORN TO LOVE,https://music.douban.com/subject/1948359/,8.6,41806,五月天,2006-12-28,引进版,CD,流行
79,Daniel Powter dp,https://music.douban.com/subject/1421922/,8.7,35714,Daniel Powter,2006,专辑,Audio CD,流行
80,I'm Yours,https://music.douban.com/subject/3097879/,9.4,39549,Jason Mraz,2008-12-16,Single,Audio CD,民谣
81,时光·漫步,https://music.douban.com/subject/1408378/,9.0,39671,许巍 Wei Xu,2002-12-01,专辑,CD,民谣
82,生如夏花 Life Like Summer Flowers,https://music.douban.com/subject/1407656/,9.0,63630,朴树,2003-11-28,专辑,CD,流行
83,我很忙 JAY CHOU ON THE RUN,https://music.douban.com/subject/1846771/,8.3,75990,周杰伦,2007-11-01,专辑,CD,流行
84,夏 / 狂热 Fever,https://music.douban.com/subject/3838018/,8.7,44538,苏打绿,2009-09-11,专辑,CD,摇滚
85,绝世名伶,https://music.douban.com/subject/1424317/,8.8,37121,范晓萱,2001-08-25,专辑,CD,爵士
86,哼一首歌 等日落,https://music.douban.com/subject/4116446/,8.2,33788,曹方,2009-11-11,专辑,CD,流行
87,未完成 To Be Continued......,https://music.douban.com/subject/1408461/,8.7,39662,孙燕姿,2003-01-10,专辑,CD,流行
88,OK Computer,https://music.douban.com/subject/1394653/,9.4,49940,Radiohead,1997,专辑,Audio CD,摇滚
89,Born to Die 向死而生（大陆） / 生死相守 （台）,https://music.douban.com/subject/10448971/,8.9,54203,Lana Del Rey,2012-01-31,专辑,Audio CD,流行
90,The Wall 迷墙,https://music.douban.com/subject/1394664/,9.4,49750,Pink Floyd,1979,专辑,Audio CD,摇滚
91,不要停止我的音乐 The Music Won't Be Stopped,https://music.douban.com/subject/3236064/,8.6,49136,痛仰,2008-10,专辑,CD,摇滚
92,Hybrid Theory 混合理论,https://music.douban.com/subject/1394771/,9.0,34389,Linkin Park,2000,专辑,CD,摇滚
93,MTV Unplugged in New York,https://music.douban.com/subject/1394566/,9.6,36094,Nirvana,1994-11-01,Live,Audio CD,摇滚
94,After 17,https://music.douban.com/subject/1400651/,9.2,33698,陈绮贞,2004年12月,EP,CD,流行
95,In Between Dreams,https://music.douban.com/subject/1395432/,9.0,30074,Jack Johnson,2005-03-22,专辑,Audio CD,民谣
96,神的孩子都在跳舞,https://music.douban.com/subject/3526294/,9.0,36613,五月天 Mayday,2004-11-05,专辑,CD+VCD,流行
97,离开地球表面Jump!,https://music.douban.com/subject/2150115/,8.8,42667,五月天,2007-07-20,专辑,CD+DVD,流行
98,不想放手 Don't Want to Let Go,https://music.douban.com/subject/3088329/,8.4,37988,陈奕迅,2008-06-30,专辑,CD,流行
99,我的歌声里,https://music.douban.com/subject/5395505/,8.6,49003,曲婉婷,2010-02-24,单曲,数字(Digital),流行
100,The Legend of 1900 海上钢琴师,https://music.douban.com/subject/1415369/,9.5,36687,Ennio Morricone,1999-10-12,Soundtrack,Audio CD,原声
101,孤独的人是可耻的 Shameful being left alone,https://music.douban.com/subject/1407472/,9.2,42478,张楚,1994,专辑,CD,摇滚
102,徐佳瑩La La首张创作专辑 La La首張創作專輯,https://music.douban.com/subject/3746394/,8.5,41008,徐佳莹,2009-05-29,专辑,CD,流行
103,The Best Damn Thing 美丽坏东西,https://music.douban.com/subject/2044199/,7.9,37872,Avril Lavigne,2007-04-17,Import,Audio CD,摇滚
104,知足 just my pride 最真杰作选,https://music.douban.com/subject/1422072/,9.3,34016,五月天,2005-11-18,专辑,CD,摇滚
105,1 The Beatles 1 / No.1,https://music.douban.com/subject/1394818/,9.5,32191,The Beatles,2000,选集,CD,摇滚
